"year","sim","spp1","spp10","spp11","spp12","spp13","spp14","spp15","spp16","spp17","spp18","spp19","spp2","spp20","spp3","spp4","spp5","spp6","spp7","spp8","spp9"
1,1,1348.60151786026,924.778601087464,1044.71177539916,1211.25118613572,639.451146381306,1102.65584790797,1025.83174582862,1346.35534107757,719.64966167888,1047.4774198546,1099.08789538276,1168.08294421527,1008.72403855316,1113.59099756185,699.463142475368,749.420159750167,1220.71740248987,970.868762165538,1044.34865952398,972.690883455266
2,1,1193.28610826612,979.702121840984,936.388412563353,1152.72078582553,808.464488806141,999.036299310871,1133.68287558302,1755.64118602872,890.292318439338,1053.16834482659,980.654053524133,1222.80841987465,933.997951710053,939.259466500614,886.863156700505,889.715192910398,909.095303663292,1434.46882310653,1590.70068173261,933.346919020919
3,1,965.834395239775,868.59041458072,874.798191268545,957.48654988904,957.050600226969,954.049510063101,782.533597588508,1146.43491917725,1144.01472860282,1107.32173154454,1092.04239583231,1392.38760621198,693.244992512239,870.673590336676,963.503055963005,934.734922360023,918.086902779472,995.358271828969,1171.67167936772,833.076526083557
4,1,702.170789282684,1055.03081247104,1055.64098345019,750.310759403965,985.829495532089,1185.06296255697,1063.54453444142,1091.0871724676,1135.84339356648,1120.4522500466,752.915221389251,1066.93070251726,1014.35063406328,734.502586283427,892.09981028529,777.040254161205,963.412207014222,1042.22307862473,746.842202357463,956.273201168995
5,1,853.879224592326,1152.4792456116,952.025621699627,1423.00539507097,1236.23125571843,1109.94134282303,794.794853742159,679.107983011337,1275.51123509184,1147.8580293618,651.731948138585,1074.86800513742,1080.97780722883,830.420484606766,1097.79642138733,1022.23409593197,1035.54926566174,999.955314708309,775.378007921798,694.836981474088
6,1,1112.27363582583,1428.92869104248,946.588600218758,1251.09339967553,761.70001305073,913.859402635615,839.615806823095,786.593589541268,753.229103070538,1247.2794380264,859.096461791111,1054.81366406418,961.461887663692,675.700782330522,610.614530950304,856.669669350632,959.985769752475,635.067198923931,958.931495274961,609.054127103163
7,1,731.619383021046,1003.38956678005,897.652305337218,1376.96370091798,1439.55525027167,1001.67786604354,680.510075814705,673.031173778269,717.826726077737,1040.75557938597,948.111843321358,826.140140266838,814.912932002719,674.313362589506,482.03412529232,1038.70557026257,1512.19055627921,567.643789776628,772.124496155546,563.692867235079
8,1,849.363151649024,759.678210190537,895.069897006004,646.47867774559,1563.46035975262,951.899391699471,714.19005397001,675.178211204039,980.488503506908,823.476386065,868.781176102222,756.181782400275,732.910140994063,890.118051643169,522.03495645483,1015.88425450917,1150.31708383014,866.118815594736,1170.65356750087,681.283714983075
9,1,1074.49556103198,650.89274713145,1216.78050028163,713.469025263909,1238.51612053007,782.925817225556,785.592630797985,885.436154013106,1132.41152253469,1202.54688872955,1057.6041975791,684.707569269376,969.966674616062,952.23665483683,547.892324010197,941.320447539152,996.576680859322,921.729419100685,889.931203983717,793.226250949439
10,1,854.386796816609,720.926487395336,1143.44911206661,988.470468015927,981.543756347587,1152.4472967937,753.167471339598,1315.24485925134,1155.96737973923,1112.20370282577,1313.54911677396,970.932133354275,1015.68720395864,982.249817905314,743.933719396855,1042.78423191365,1225.89750623902,833.58295528715,970.024115002157,1041.3781608611
11,1,1057.04966747874,701.363513942247,833.168652302404,1134.91571430262,959.872421691608,1468.7811041275,672.799434291308,1286.15100589433,1293.20099036884,1077.57994022066,987.532963815052,946.127182527477,648.841727771479,734.943439747494,866.673610012906,734.421938081292,1019.85902464428,1154.3145873229,604.56292546476,945.604755431492
12,1,1033.52790684973,825.583222330509,546.094829254665,1483.93946887925,773.529015925329,1414.37452038753,691.894086726438,1086.69497675846,1164.50096824338,903.785422754591,1044.94715061145,1268.55306881832,638.515161833545,839.97448270911,906.866292484324,843.429493941458,1202.08639609991,1052.51254864119,725.305191154631,765.141608409817
13,1,907.519928932785,702.963055005826,710.731647275037,1031.83832835498,908.988968750633,1205.53452211183,747.570244231897,1113.12781470246,985.293194389903,650.487208191139,1201.12406069124,1326.78168189585,590.206246471111,928.055115422746,887.112138543701,884.657969824726,1098.18032194937,867.292895204708,828.040236866151,722.443642567489
14,1,1170.07064821735,524.842276775077,683.132886443605,834.178256169941,908.477420660759,1033.42489838593,856.764424730694,1182.1808889436,1258.73663868907,1034.66083643496,1179.08363561537,1401.65721166367,843.944499170717,1041.62209172191,948.196605064465,1256.80059143307,823.114891811443,823.041219669154,897.866905483414,504.781946539952
15,1,1133.66387394073,604.804418824435,941.290356184822,972.283490139429,877.904010647758,1161.13528373657,971.394707218917,1204.64202856016,950.837093526295,1300.23867483877,837.471593426224,999.404324405919,1359.14940726671,1187.26811256979,754.324491737229,1454.19504713737,1131.96922514491,949.412319755965,942.468636976624,736.696675308576
